id,creatorId,title,content,type,category,thumbnail,mediaUrl,isLocked,isPremium,price,currency,likesCount,commentsCount,viewsCount,createdAt,updatedAt,mediaUrl_backup,thumbnail_backup,imageAspectRatio,isSellable,minSubscriptionTier
cmbvb8yjl0003qosolrsk9s3c,cmbv5ezor0001qoe08nrb9ie7,Rug Society,We live in a rug society,image,Art,/media/thumbposts/thumb_art_1752770044_4957.webp,/media/posts/post_art_1752769911_7454.webp,f,f,,SOL,3,0,0,2025-06-13 21:19:21.058,2025-07-18 03:50:11.482,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/92380819cda75b92b531161b97f27c7a.png,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/92380819cda75b92b531161b97f27c7a.png,,f,
cmbvbg7pu000cqosoufi6ragh,cmbvbb1e50004qoso8yvbd4ri,Bybit is a scam,We know it isnt it?,image,Trading,/media/thumbposts/thumb_trading_1752770306_8645.webp,/media/posts/post_trading_1752770239_5638.webp,f,f,,SOL,1,0,0,2025-06-13 21:24:59.538,2025-07-18 03:50:12.798,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/48671c5d706fcc7282c4ee30108d781d.jpg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/48671c5d706fcc7282c4ee30108d781d.jpg,,f,
test_post_1,playwright_admin_user,"🎨 Digital Art Masterpiece - ""Neon Dreams""","Finally finished this piece after 20 hours of work! This represents the fusion of traditional art techniques with modern digital tools. The neon aesthetic combined with ethereal elements creates a dreamlike atmosphere.

#DigitalArt #NeonArt #CreativeProcess",image,Art,/media/tests/posts/neon-dreams-thumb.jpg,/media/tests/posts/neon-dreams-full.jpg,f,f,,SOL,89,23,445,2025-07-10 08:02:36.793,2025-07-18 23:22:33.757,,,,f,free
test_post_2,playwright_admin_user,"🎵 New Track Preview: ""Midnight Vibes""","Working on this chill electronic track! Basic subscribers get the 30-second preview. What do you think of the vibe? Drop your thoughts in the comments!

#MusicProduction #ElectronicMusic #MidnightVibes",audio,Music,/media/tests/posts/midnight-vibes-cover.jpg,/media/tests/posts/midnight-vibes-preview.mp3,t,f,,SOL,156,34,678,2025-06-29 00:35:56.547,2025-07-18 23:22:33.833,,,,f,basic
test_post_3,playwright_admin_user,💎 VIP Exclusive: AI Art Tutorial Series,"VIP members only! Complete tutorial on how I create my signature AI-assisted artworks. This 45-minute video covers:

• Prompt engineering techniques
• Style transfer methods
• Post-processing in Photoshop
• Color grading secrets

This is exclusive content that I only share with my VIP community!",video,Education,/media/tests/posts/ai-tutorial-thumb.jpg,/media/tests/posts/ai-tutorial-full.mp4,t,t,,SOL,234,67,1203,2025-07-03 22:11:58.39,2025-07-18 23:22:33.844,,,,f,vip
test_post_4,playwright_admin_user,"🔥 Premium Art Collection: ""Cyber Portraits""","Premium subscribers get exclusive access to my latest portrait series! These 5 cyberpunk-inspired portraits took me 3 weeks to complete. Each piece explores the relationship between humanity and technology.

Premium members can download high-res versions for personal use!",image,Art,/media/tests/posts/cyber-portraits-thumb.jpg,/media/tests/posts/cyber-portraits-gallery.jpg,t,t,,SOL,312,89,892,2025-06-24 22:26:04.684,2025-07-18 23:22:33.848,,,,f,premium
test_post_5,playwright_admin_user,💰 Special Offer: Commission Slot Available!,"Limited time offer! I'm opening ONE commission slot for a custom digital portrait. This includes:

• Personal consultation call
• 3 revision rounds
• High-res files (300 DPI)
• Commercial usage rights
• Process documentation video

First come, first served! 🏃‍♂️",image,Commission,/media/tests/posts/commission-example-thumb.jpg,/media/tests/posts/commission-example-full.jpg,t,f,0.5,SOL,67,45,523,2025-07-03 07:29:18.238,2025-07-18 23:22:33.855,,,,f,
test_post_6,playwright_admin_user,🎬 Behind the Scenes: Studio Tour,"Take a look inside my creative space! This is where all the magic happens. From my dual monitor setup to my drawing tablet and recording equipment - everything you see in my content starts here.

#StudioTour #CreativeSpace #BehindTheScenes",video,Lifestyle,/media/tests/posts/studio-tour-thumb.jpg,/media/tests/posts/studio-tour.mp4,f,f,,SOL,178,56,734,2025-07-07 02:40:46.005,2025-07-18 23:22:33.882,,,,f,free
test_post_7,playwright_admin_user,"🎭 Character Design: ""The Techno Shaman""","Basic subscribers get early access to my character design process! Meet ""The Techno Shaman"" - a fusion of ancient wisdom and future technology. This character will be featured in my upcoming NFT collection.

Swipe to see the evolution from sketch to final render!",image,Art,/media/tests/posts/techno-shaman-thumb.jpg,/media/tests/posts/techno-shaman-process.jpg,t,f,,SOL,203,78,654,2025-07-15 14:10:20.78,2025-07-18 23:22:33.887,,,,f,basic
test_post_8,playwright_admin_user,"🔊 Full Track Release: ""Midnight Vibes"" (Premium)","Premium members - here's the full track! ""Midnight Vibes"" is now complete and exclusively available for my premium community. This 4-minute journey through electronic soundscapes is perfect for late-night creative sessions.

Download includes:
• 320kbps MP3
• Lossless FLAC
• Instrumental version",audio,Music,/media/tests/posts/midnight-vibes-full-cover.jpg,/media/tests/posts/midnight-vibes-full.mp3,t,t,,SOL,289,67,1045,2025-07-04 19:39:31.737,2025-07-18 23:22:33.89,,,,f,premium
test_post_9,playwright_admin_user,📱 Quick Tip: Photoshop Blend Modes,"Free tip for everyone! One of my most-used blend modes for creating dramatic lighting effects is ""Linear Dodge (Add)"". Try it on a soft brush with warm colors over your subjects.

Want more advanced techniques? Check out my premium tutorials! 🎨",text,Tips,,,f,f,,SOL,445,123,2341,2025-06-22 23:59:41.478,2025-07-18 23:22:33.902,,,,f,free
cmd7prnn40009lc6yitkop3lz,cmbymuez00004qoe1aeyoe7zf,🎵 Новый трек от Lafufu,Только что закончил работу над новым треком! Что думаете о звучании? 🎸✨,image,Music,/media/thumbposts/post_music_1752770494_5829.jpg,/media/posts/post_music_1752770494_5829.webp,f,f,,SOL,0,0,0,2025-07-17 18:18:44.464,2025-07-18 03:50:06.454,,,1.330,f,
cmbver0e60004qoc1w32eu2hq,cmbvepbbb0000qoc10tbl0078,Sui 80s,80s futuristic fantasy ,image,Art,/media/thumbposts/thumb_art_1752770033_9296.webp,/media/posts/post_art_1752770011_4655.webp,t,f,,SOL,0,0,0,2025-06-13 22:57:22.11,2025-07-18 03:50:11.434,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/214857814e4ca896b0dd48488f81664e.png,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/214857814e4ca896b0dd48488f81664e.png,,f,
cmbvbujy0000kqosokw7nheym,cmbvbp1os000hqoso8035109x,Traveling ,Summer in winter,image,Art,/media/thumbposts/thumb_art_1752770040_8118.webp,/media/posts/post_art_1752770000_3650.webp,f,f,,SOL,2,0,0,2025-06-13 21:36:08.568,2025-07-18 03:50:11.447,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/326b1434d5d9e6d9052a922ae6009ab2.jpeg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/326b1434d5d9e6d9052a922ae6009ab2.jpeg,,f,
cmbvbl01u000gqosoy2ufypdg,cmbvbhqig000dqosofkgoocof,Oh yaeahh,Yummi!!!,image,Lifestyle,/media/thumbposts/thumb_lifestyle_1752770125_9004.webp,/media/posts/post_lifestyle_1752770160_5853.webp,f,f,,SOL,1,0,0,2025-06-13 21:28:42.883,2025-07-18 03:50:12.253,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/f2d6fe989ae1cf330b226eb3a6db6e7b.jpeg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/f2d6fe989ae1cf330b226eb3a6db6e7b.jpeg,,f,
test_post_10,playwright_admin_user,👑 VIP Only: Personal Art Collection Sale,"My VIP community gets first access to my personal art collection! I'm selling 3 original pieces from my private collection. These have never been shown publicly and each comes with a certificate of authenticity.

Pieces available:
1. ""Digital Dreams"" - Mixed media, 24x36""
2. ""Cyber Soul"" - Digital print on canvas, 18x24"" 
3. ""Future Past"" - Acrylic on wood panel, 20x30""

Serious inquiries only. DM me for details! 💎",image,Art,/media/tests/posts/personal-collection-thumb.jpg,/media/tests/posts/personal-collection-gallery.jpg,t,t,2.5,SOL,156,89,567,2025-07-18 10:47:39.148,2025-07-18 23:22:33.948,,,,f,vip
cmbzvts33001hqoubrnjo5lhr,cmbvsuam7000fqowpr31a8hs9,New Stable Coin from JP MORGAN,🇺🇸 $4 TRILLION JP MORGAN HAS JUST FILED A TRADEMAKR FOR STABLE CALLED JPMD.,image,Blockchain,/media/thumbposts/thumb_trading_1752770291_8956.webp,/media/posts/post_music_1752770447_4966.webp,t,f,,SOL,3,0,0,2025-06-17 02:06:29.488,2025-07-18 03:50:12.783,,,,f,
cmd7py7kp000blc6yntvie75w,cmbymuez00004qoe1aeyoe7zf,Final Architecture Test ✅,Последний тест после исправления всех Prisma schema ошибок,text,Tech,,,f,f,,SOL,0,0,0,2025-07-17 18:23:50.227,2025-07-17 18:23:50.227,,,,f,
cmda9qxw50004ja9dkz2y965y,cmbv53b7h0000qoe0vy4qwkap,"","",image,Art,/posts/images/thumb_553bde0873d7a2f642dd5041469ff66c.webp,/posts/images/553bde0873d7a2f642dd5041469ff66c.JPG,f,f,,SOL,0,0,0,2025-07-19 13:13:35.765,2025-07-19 13:13:35.765,,,1.330,f,
cmbvf729c0008qoc16wgqht3q,cmbvepbbb0000qoc10tbl0078,Sui 80s,80s core ,image,Art,/media/thumbposts/thumb_art_1752769957_3170.webp,/media/posts/post_art_1752770016_8049.webp,t,f,,SOL,0,0,0,2025-06-13 23:09:51.024,2025-07-18 03:50:11.22,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/214857814e4ca896b0dd48488f81664e.png,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/214857814e4ca896b0dd48488f81664e.png,,f,
cmd7qcbh5000rlc6y4f4cp4yi,cmbymuez00004qoe1aeyoe7zf,"","",image,Art,/posts/images/thumb_46dfc2e43a9e77dbea23d5940f0ea380.webp,/posts/images/46dfc2e43a9e77dbea23d5940f0ea380.webp,f,f,,SOL,0,0,0,2025-07-17 18:34:48.473,2025-07-18 03:50:08.354,,,1.330,f,
cmbvfq40d000jqojosbe1zbyv,cmbvepbbb0000qoc10tbl0078,Linda 80s,80s core,image,Art,/media/thumbposts/thumb_art_1752769925_8619.webp,/media/posts/post_art_1752769961_3769.webp,f,f,,SOL,3,0,0,2025-06-13 23:24:39.757,2025-07-18 03:50:11.163,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/961ec60b55e53dcfffd5a2ca2dc5a791.png,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/961ec60b55e53dcfffd5a2ca2dc5a791.png,,f,
cmbvfnni70004qojodmo250zo,cmbvffs2y0000qojofs8mj5u1,PalGirls,PG1,image,Gaming,/media/thumbposts/thumb_gaming_1752770349_8370.webp,/media/posts/post_gaming_1752770356_8666.webp,f,f,,SOL,2,0,0,2025-06-13 23:22:45.055,2025-07-18 03:50:11.737,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/8c9d59430ab3be9919e46c6386ad869d.jpg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/8c9d59430ab3be9919e46c6386ad869d.jpg,,f,
cmd7qdmlv000tlc6y6w1ikewv,cmbymuez00004qoe1aeyoe7zf,"","",image,Art,/posts/images/thumb_ccc01817ef0d671492c305bf07a2fee2.webp,/posts/images/ccc01817ef0d671492c305bf07a2fee2.webp,t,f,,SOL,0,0,0,2025-07-17 18:35:49.554,2025-07-18 03:50:08.377,,,0.750,f,
cmbvg39ii0013qojo7xknlqfs,cmbvepbbb0000qoc10tbl0078,Latifa 80s,80s core,image,Art,/media/thumbposts/thumb_art_1752769877_3976.webp,/media/posts/post_art_1752769861_7208.webp,f,f,,SOL,4,1,0,2025-06-13 23:34:53.419,2025-07-18 03:50:11.013,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/a91204f2bd7cbecb99293d147bc0174a.png,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/a91204f2bd7cbecb99293d147bc0174a.png,,f,
cmbvfreic000rqojouvjlbzxg,cmbvepbbb0000qoc10tbl0078,Sui 80s,80s core,image,Art,/media/thumbposts/thumb_art_1752770011_1528.webp,/media/posts/post_art_1752769936_9756.webp,f,f,,SOL,3,0,0,2025-06-13 23:25:40.02,2025-07-18 03:50:11.399,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/214857814e4ca896b0dd48488f81664e.png,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/214857814e4ca896b0dd48488f81664e.png,,f,
cmbvh7j1j000uqoui3abrpwzg,cmbvffs2y0000qojofs8mj5u1,PalGirls,PG5,image,Art,/media/thumbposts/thumb_art_1752770023_9579.webp,/media/posts/post_art_1752769866_3498.webp,f,f,,SOL,5,0,0,2025-06-14 00:06:12.007,2025-07-18 03:50:11.412,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/1d2afdde0d88f242e1233b99856fd1ee.jpg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/1d2afdde0d88f242e1233b99856fd1ee.jpg,,f,
cmbvgyujw0001qoui0s91iuey,cmbvbhqig000dqosofkgoocof,Foood,That's my favorite stuff to be honest,image,Fitness,/media/thumbposts/thumb_education_1752770596_8451.webp,/media/posts/post_education_1752770548_4500.webp,f,f,,SOL,5,1,0,2025-06-13 23:59:27.02,2025-07-18 03:50:11.693,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/2c14fb67b8b56ef20c22043b3b4deb29.jpeg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/2c14fb67b8b56ef20c22043b3b4deb29.jpeg,,f,
cmd7tkil20001d6txtzss492g,cmbymuez00004qoe1aeyoe7zf,Success! Tier Access Fixed,Testing tier-based post access after complete restart,text,General,,,f,f,,SOL,0,0,0,2025-07-17 20:05:09.783,2025-07-17 20:05:09.783,,,,f,basic
cmd7tlywy0003d6txba9dc13k,cmbymuez00004qoe1aeyoe7zf,Premium Content Test,This post requires Premium subscription to access,text,General,,,f,f,,SOL,0,0,0,2025-07-17 20:06:17.603,2025-07-17 20:06:17.603,,,,f,premium
cmd7tm3lk0005d6txppya67hf,cmbymuez00004qoe1aeyoe7zf,VIP Exclusive Content,This post requires VIP subscription to access,text,General,,,f,f,,SOL,0,0,0,2025-07-17 20:06:23.672,2025-07-17 20:06:23.672,,,,f,vip
cmbvhfaqs0011qouihnqutv3s,cmbvepbbb0000qoc10tbl0078,Tiffany 80s,80s core ,image,Art,/media/thumbposts/thumb_art_1752769946_4366.webp,/media/posts/post_art_1752770003_2995.webp,f,f,,SOL,5,0,0,2025-06-14 00:12:14.5,2025-07-18 03:50:11.196,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/7372cfcee95f1a2c685e38a710d85440.png,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/7372cfcee95f1a2c685e38a710d85440.png,,f,
cmd7v6vb60007d6txlkjpt8la,cmbymuez00004qoe1aeyoe7zf,🔓 FREE: Welcome to Fonana!,This is a free post accessible to everyone. No subscription required!,text,General,,,f,f,,SOL,0,0,0,2025-07-17 20:50:32.323,2025-07-17 20:50:32.323,,,,f,
cmd7v71yt0009d6txedzq76os,cmbymuez00004qoe1aeyoe7zf,⭐ BASIC: Exclusive for Basic subscribers,"This post is available for Basic, Premium and VIP subscribers only!",text,General,,,t,f,,SOL,0,0,0,2025-07-17 20:50:40.949,2025-07-17 20:50:40.949,,,,f,basic
cmd7v78a7000bd6txhmesshbs,cmbymuez00004qoe1aeyoe7zf,💎 PREMIUM: Advanced content for Premium members,This exclusive content is only for Premium and VIP members. Get deeper insights!,text,General,,,t,f,,SOL,0,0,0,2025-07-17 20:50:49.135,2025-07-17 20:50:49.135,,,,f,premium
cmd7v7f1g000dd6txhioucnoy,cmbymuez00004qoe1aeyoe7zf,👑 VIP: Ultimate exclusive content,"This is the most exclusive content, available only for VIP members. Personal insights and strategies!",text,General,,,t,f,,SOL,0,0,0,2025-07-17 20:50:57.892,2025-07-17 20:50:57.892,,,,f,vip
cmd7v7lnh000fd6tx6ku4rxku,cmbymuez00004qoe1aeyoe7zf,💰 PAID: One-time purchase content,This content requires a one-time payment of 0.1 SOL. Get lifetime access to this exclusive guide!,text,General,,,t,f,0.1,SOL,0,0,0,2025-07-17 20:51:06.461,2025-07-17 20:51:06.461,,,,f,
cmbvj3s970014qo1te13bm817,cmbvimbd80002qo1ttm0tc8rl,Banana tree,Breakfast,image,Lifestyle,/media/thumbposts/thumb_lifestyle_1752770153_7001.webp,/media/posts/post_lifestyle_1752770156_8710.webp,f,f,,SOL,3,0,0,2025-06-14 00:59:16.555,2025-07-18 03:50:12.27,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/13d311e4647487f7f62e3f23564ef413.jpeg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/13d311e4647487f7f62e3f23564ef413.jpeg,,f,
cmbvj5zyt0019qo1t162s0lhk,cmbvimbd80002qo1ttm0tc8rl,Early morning,Have a nice day 🫶,image,Lifestyle,/media/thumbposts/thumb_lifestyle_1752770218_5213.webp,/media/posts/post_lifestyle_1752770188_8183.webp,f,f,,SOL,3,0,0,2025-06-14 01:00:59.861,2025-07-18 03:50:12.31,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/32fcf53433662644464cc2a687ef9ebc.jpeg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/32fcf53433662644464cc2a687ef9ebc.jpeg,,f,
cmbvhi2kr0013qouigqx1iegk,cmbv5ezor0001qoe08nrb9ie7,Best of us,Dig some memes,image,Trading,/media/thumbposts/thumb_trading_1752770300_8721.webp,/media/posts/post_trading_1752770288_5029.webp,f,f,,SOL,3,0,0,2025-06-14 00:14:23.883,2025-07-18 03:50:12.795,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/84e1427289f43418df8bb26406c23f93.webp,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/84e1427289f43418df8bb26406c23f93.webp,,f,
cmd7v8o59000hd6txu41e9kcp,cmbymuez00004qoe1aeyoe7zf,💰 PAID: Premium guide for 0.1 SOL,This exclusive guide requires a one-time payment. Get lifetime access!,text,General,,,t,f,0.1,SOL,0,0,0,2025-07-17 20:51:56.349,2025-07-17 20:51:56.349,,,,f,
cmd7v93md000jd6txbavfhvpj,cmbymuez00004qoe1aeyoe7zf,🛍️ FOR SALE: Limited Edition NFT Art,Exclusive digital artwork. Only 1 available! Includes high-res file and commercial rights.,text,General,,,f,f,0.5,SOL,0,0,0,2025-07-17 20:52:16.405,2025-07-17 20:52:16.405,,,,t,
cmd7vd9q2000ld6tx3nmeo5ac,cmbv53b7h0000qoe0vy4qwkap,Нихуя не понятно,Но очень интересно,image,Art,/posts/images/thumb_feb545fb9a875a4161503b0f98df1816.webp,/posts/images/feb545fb9a875a4161503b0f98df1816.webp,f,f,,SOL,0,0,0,2025-07-17 20:55:30.938,2025-07-18 03:50:08.671,,,1.330,f,
cmbvrfk430005qowp8ekmz28e,cmbvrce6i0002qowpjh5yhlkm,Urrurur,Urrurur,image,Art,/media/thumbposts/thumb_art_1752770007_5423.webp,/media/posts/post_art_1752769907_7415.webp,t,f,,SOL,2,0,0,2025-06-14 04:52:22.803,2025-07-18 03:50:11.396,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/2bf16dbd2666db7e592b6579c382b8bc.jpg,https://iwzfrnfemdeomowothhn.supabase.co/storage/v1/object/public/posts/images/2bf16dbd2666db7e592b6579c382b8bc.jpg,,f,
test_dim_post_001,cmbymuez00004qoe1aeyoe7zf,TEST: Dimmed Post with Basic Tier,This should be dimmed for non-basic users,text,Tech,,,f,f,,SOL,0,0,0,2025-07-17 17:25:35.302,2025-07-17 17:25:35.302,,,,f,basic
